tota_name	tota_number	date_signed	p1	p2	year	decade	region	composition	crossregional	wto
Turkey - Chile	344	2009-07-14	CHL	TUR	2009	200	South America; Europe	Bilateral	Yes	Yes
Korea, Republic of - Australia	343	2014-04-08	AUS	KOR	2014	201	Oceania; East Asia	Bilateral	Yes	Yes
US - Colombia	342	2006-11-22	COL	USA	2006	200	South America; North America	Bilateral	Yes	Yes
El Salvador- Honduras - Chinese Taipei	341	2007-05-07	HND SLV TWN		2007	200	East Asia; Central America	Plurilateral	Yes	Yes
MERCOSUR - India	340	2004-01-25	ARG BRA IND PRY URY		2004	200	South America; West Asia	Bilateral; One Party is an RTA	Yes	Yes
Japan - Mexico	34	2004-09-17	JPN	MEX	2004	200	East Asia; North America	Bilateral	Yes	Yes
Turkey - Jordan	337	2009-12-01	JOR	TUR	2009	200	Middle East; Europe	Bilateral	Yes	Yes
China - Singapore	336	2008-10-23	CHN	SGP	2008	200	East Asia	Bilateral	No	Yes
Peru - Singapore	335	2008-05-29	PER	SGP	2008	200	South America; East Asia	Bilateral	Yes	Yes
New Zealand - Malaysia	334	2009-10-26	MYS	NZL	2009	200	East Asia; Oceania	Bilateral	Yes	Yes
Hong Kong, China - New Zealand	333	2010-03-29	HKG	NZL	2010	201	East Asia; Oceania	Bilateral	Yes	Yes
EU - Eastern and Southern Africa States Interim EPA	332	2009-08-29	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MDG MLT MUS NLD POL PRT ROU SVK SVN SWE SYC ZWE		2009	200	Europe; Africa	Plurilateral; One Party is an RTA	Yes	Yes
EFTA - GCC	331	2009-06-22	ARE BHR CHE ISL KWT LIE NOR OMN QAT SAU		2009	200	Middle East; Europe	Bilateral; All Parties are RTAs	Yes	Yes
Iceland - China	330	2013-04-15	CHN	ISL	2013	201	East Asia; Europe	Bilateral	Yes	Yes
EFTA - Tunisia	33	2004-12-17	CHE ISL LIE NOR TUN		2004	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Chile - Malaysia	329	2010-11-13	CHL	MYS	2010	201	South America; East Asia	Bilateral	Yes	Yes
ASEAN - India	328	2009-08-13	BRN IDN IND KHM LAO MMR MYS PHL SGP THA VNM		2009	200	East Asia; West Asia	Bilateral; One Party is an RTA	Yes	Yes
ASEAN - Australia - New Zealand	327	2009-02-27	AUS BRN IDN KHM LAO MMR MYS NZL PHL SGP THA VNM		2009	200	Oceania; East Asia	Plurilateral; One Party is an RTA	Yes	Yes
Panama - Chinese Taipei	326	2003-08-21	PAN	TWN	2003	200	East Asia; Central America	Bilateral	Yes	Yes
Guatemala - Chinese Taipei	325	2005-09-22	GTM	TWN	2005	200	East Asia; Central America	Bilateral	Yes	Yes
India - Nepal	324	2009-10-27	IND	NPL	2009	200	West Asia	Bilateral	No	Yes
India - Afghanistan	323	2003-03-06	AFG	IND	2003	200	West Asia	Bilateral	No	No
EU - San Marino	322	1991-12-16	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SMR SWE		1991	199	Europe	Bilateral; One Party is an RTA	No	No
Third Convention of Lomé	320	1984-12-08	BDI BEN BFA BHS BRB BWA CAF CIV CMR COD COG DEU ETH FJI FRA GAB GBR GHA GIN GMB GNB GNQ GRD GUY IRL ITA JAM KEN LBR LSO LUX MDG MLI MOZ MRT MUS MWI NER NGA NLD RWA SDN SEN SLE SOM SWZ TCD TGO TON TTO TZA UGA WSM ZMB		1984	198	Caribbean; Africa; Oceania; Europe; South America	Plurilateral	Yes	No
Economic Community of West African States (ECOWAS)	32	1993-07-24	BEN BFA CIV CPV GHA GIN GMB GNB LBR MLI NER NGA SEN SLE TGO		1993	199	Africa	Plurilateral	No	No
